Sample in Buffer,Sample in Window,TRIGGER,design_1_i/axis_data_fifo_0_m_axis_tvalid,design_1_i/sticky_bit_0_signal_out,design_1_i/axis_data_fifo_0_m_axis_tdata[31:0],design_1_i/util_vector_logic_0_Res
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
631,631,0,1,1,ff0700c9,1
632,632,0,1,1,00bc0208,1
633,633,0,1,1,008800c9,1
634,634,0,1,1,001cffd0,1
635,635,0,1,1,fe95ff6d,1
636,636,0,1,1,fe3a014b,1
637,637,0,1,1,ff3f00b0,1
638,638,0,1,1,006effbb,1
639,639,0,1,1,ffc2ff15,1
640,640,0,1,1,fe66ff17,1
641,641,0,1,1,ff13ffb8,1
642,642,0,1,1,00e50004,1
643,643,0,1,1,00c7ffa2,1
644,644,0,1,1,000bfe6c,1
645,645,0,1,1,ffe8ff23,1
646,646,0,1,1,00d50050,1
647,647,0,1,1,00a100bc,1
648,648,0,1,1,013efe95,1
649,649,0,1,1,006fff3c,1
650,650,0,1,1,fff70071,1
651,651,0,1,1,ff3c0187,1
652,652,0,1,1,01f100de,1
653,653,0,1,1,01120077,1
654,654,0,1,1,00350072,1
655,655,0,1,1,fec80075,1
656,656,0,1,1,ffde01f0,1
657,657,0,1,1,ffda0115,1
658,658,0,1,1,ffaf0033,1
659,659,0,1,1,fea1ffbe,1
660,660,0,1,1,fece007c,1
661,661,0,1,1,ff220049,1
662,662,0,1,1,0029ff55,1
663,663,0,1,1,ff54fe9b,1
664,664,0,1,1,fed4ff4d,1
665,665,0,1,1,ff53ffbe,1
666,666,0,1,1,00e50007,1
667,667,0,1,1,00f8ff6e,1
668,668,0,1,1,002ffe69,1
669,669,0,1,1,ffe5ff36,1
670,670,0,1,1,00a30038,1
671,671,0,1,1,005d0069,1
672,672,0,1,1,0172ff94,1
673,673,0,1,1,00a0ffd3,1
674,674,0,1,1,006e00d1,1
675,675,0,1,1,001000ef,1
676,676,0,1,1,011300c5,1
677,677,0,1,1,004f0087,1
678,678,0,1,1,ff650073,1
679,679,0,1,1,feae0124,1
680,680,0,1,1,fffb0134,1
681,681,0,1,1,ff9c00b3,1
682,682,0,1,1,ffc3ff51,1
683,683,0,1,1,fe5cff21,1
684,684,0,1,1,ff110062,1
685,685,0,1,1,ff0e0025,1
686,686,0,1,1,00d1ff74,1
687,687,0,1,1,ffccfe90,1
688,688,0,1,1,ff91ff5e,1
689,689,0,1,1,ff66ff5a,1
690,690,0,1,1,00f50036,1
691,691,0,1,1,0129ff32,1
692,692,0,1,1,0049ff42,1
693,693,0,1,1,0020ff79,1
694,694,0,1,1,00a900aa,1
695,695,0,1,1,010e0122,1
696,696,0,1,1,011dfff7,1
697,697,0,1,1,0058000e,1
698,698,0,1,1,004300b2,1
699,699,0,1,1,ff860146,1
700,700,0,1,1,00a300e6,1
701,701,0,1,1,ffc80055,1
702,702,0,1,1,ffc4002c,1
703,703,0,1,1,fe7000a6,1
704,704,0,1,1,ffa10159,1
705,705,0,1,1,ff5c0000,1
706,706,0,1,1,002fffec,1
707,707,0,1,1,fe91fef5,1
708,708,0,1,1,fea20034,1
709,709,0,1,1,ff4fff8b,1
710,710,0,1,1,00970001,1
711,711,0,1,1,0042fecc,1
712,712,0,1,1,ff79ff21,1
713,713,0,1,1,0010ff03,1
714,714,0,1,1,00e3004c,1
715,715,0,1,1,00e7ffc1,1
716,716,0,1,1,0020ff0e,1
717,717,0,1,1,007bffbb,1
718,718,0,1,1,00b6010c,1
719,719,0,1,1,009200f5,1
720,720,0,1,1,015bff6a,1
721,721,0,1,1,008affb9,1
722,722,0,1,1,ffd800f3,1
723,723,0,1,1,ff1400c6,1
724,724,0,1,1,00df014a,1
725,725,0,1,1,005800d1,1
726,726,0,1,1,ff9f00c8,1
